title,text,label
Navy to bring 9 Somali pirates who hijacked Iranian vessel with Pakistani crew to India,Navy to bring 9 Somali pirates who hijacked Iranian vessel with Pakistani crew to India,1
Karnataka PUC Results,Karnataka PUC Results,1
"Bharti Hexacom IPO, first in 2024-25 fiscal, opens for subscription on this date - Hindustan Times","Bharti Hexacom, the arm of Bharti Airtel, will open its initial public offering (IPO) for subscription on April 3. The company has fixed a price band of 542-570 per share for its 4,275 crore IPO. 
A… [+1925 chars]",1
"Amazon, Tata Steel, Barclays among 200 companies conduct placements at IIM Rohtak, offer up to ₹37.25 LPA | Mint - Mint",Indian Institute of Management (IIM) Rohtak concluded the final round of placements for the 13th batch of their flagship Post Graduate Programme (PGP). The business school informed that more than 200… [+6003 chars],1
"Tech layoffs continue unabated in March 2024: Apple, IBM, Dell among IT majors that cut jobs | Mint - Mint","As the Information Technology industry struggles with its challenges, major tech giants have been on a layoff spree in March this year. The downsizing of the company size is mostly being attributed t… [+6740 chars]",1
₹1.20 to ₹28.25: Reliance ADAG penny stock gives 2250% return in four years. More steam left? | Mint - Mint,"Reliance Power shares are in the news these days for sharp upside movement in the last fortnight of FY24. After remaining in the base building mode from January 10, 2024, to March 13, 2024, this Reli… [+3951 chars]",1
New Tata Safari Rival Spotted Testing! Launching soon? - MotorOctane,"Tata went hard at the segment by giving everything on the Safari facelift. To counter that, Mahindra launched the updated XUV700. Now another rival is gearing up to update itself to take on the compe… [+1895 chars]",1
Fly high because the sky is forgiving - The Times of India,The deep tech vs. consumer tech debate is quite hot among Indians today. This is a good debate regarding where India stands today in the generative AI space. Have we missed the bus in developing our … [+5029 chars],1
Edelweiss MF’s Radhika Gupta shares 5 tips on investing for your child - Hindustan Times,"Edelweiss MFs Radhika Gupta took to X to share tips for parents wanting to start their kids' investment journey. In her post, she shared how to chart the financial goals to secure one's childs future… [+1736 chars]",1
WeRize's revenue zooms 22X in last two fiscal years - Entrackr,,1
2024 Kia Sonet Facelift Review - Page 12 - Team-BHP,"Rumour: Kia Sonet to get new entry-level variants with sunroofAccording to a media report, the Kia Sonet will soon get two new entry-level variants. Both variants are likely to be equipped with a sun… [+741 chars]",1
"India’s forex reserves hit historic high of $642.63 billion, indicates growing investor confidence - The Financial Express","India’s foreign exchange reserves surged by $140 million to reach a historic high of $642.631 billion as of March 22, the Reserve Bank of India said. This marks the fifth consecutive week of a notabl… [+2955 chars]",1
"Stock market holidays in April 2024: NSE, BSE to remain shut on these two days | Mint - Mint","Stock market holidays in April 2024: After the end of a truncated week, the Indian stock market is all set to enter the new financial year on Monday. Monday next week will be the first trade session … [+2914 chars]",1
My best investment was in Shark Tank Judge Ghazal Alagh’s Mamaearth: Shilpa Shetty Kundra | Mint - Mint,"The proudest money decision Ive made was to invest in Mamaearth, said Bollywood actor and Entrepreneur Shilpa Shetty Kundra at the Mint India Investment Summit 2024, on Friday. Kundra, who has a numb… [+6429 chars]",1
"Banks to open this Saturday, Sunday: Know which transactions will be opened on March 30, March 31 - Zee Business","Are banks open on 30th March 2024, Are banks open on 31st march 2024: Reserve Bank of India (RBI) has advised all branches of the banks dealing with government receipts and payments to remain open fo… [+2151 chars]",1
"Shares to buy in FY25: Mid-cap, small-cap indices rebound from 3-month low. Top 5 stocks to buy for long-term | Mint - Mint","Stocks to buy in FY25: After touching a three-month low in mid-March 2024, the small-cap and mid-cap indices witnessed strong upside in the last fortnight of FY24. This has created a buzz in these se… [+5392 chars]",1
Mahindra XUV700 EV (XUV.e8) spied testing again - CarWale,"<ul><li>To get redesigned fascia with new headlamps</li><li>To debut later this year</li></ul>Mahindra is actively testing multiple models including the XUV400 facelift, XUV300 facelift, XUV700 EV, a… [+1387 chars]",1
USB Charger Scam Rampant In India: Here's What It Is And How To Stay Safe - NDTV,"Representational Image
The Centre has warned citizens against using phone charging portals at public places such as airports, cafes, hotels, and bus stands.
It has asked people to be cautious of th… [+1363 chars]",1
"‘TCS gave our jobs to Indians with H1-B visas’, allege 22 laid off US employees - Hindustan Times","A group of American workers have accused Tata Consultancy Services (TCS) of illegally discriminating against them on the basis of race and age, firing them on short notice and recruiting workers from… [+2025 chars]",1
Anand Mahindra says ‘started my career on shop floor of auto plant’ as he reacts to Elon Musk’s post - Hindustan Times,"Elon Musk took to X to share a post about how there are films on lone inventor but almost none about manufacturing. The Tesla CEO's tweet attracted reactions from many, including Anand Mahindra. In h… [+2312 chars]",1
JSW Vijayanagar Metallics commissions its Hot Strip Mill in Vijayanagar with capacity of 5 MTPA - The Financial Express,,1
Why it’s time for a fresh rally in midcaps and smallcaps - The Economic Times,"Despite a consolidation phase in the Indian markets, the Nifty Smallcap 100 and Nifty Midcap 100 have remained resilient. Following substantial rallies of around 27% and 25%, respectively from Novemb… [+3100 chars]",1
"Bharti Hexacom IPO, first in 2024-25 fiscal, opens for subscription on this date - Hindustan Times","Bharti Hexacom, the arm of Bharti Airtel, will open its initial public offering (IPO) for subscription on April 3. The company has fixed a price band of 542-570 per share for its 4,275 crore IPO. 
A… [+1925 chars]",1
"Amazon, Tata Steel, Barclays among 200 companies conduct placements at IIM Rohtak, offer up to ₹37.25 LPA | Mint - Mint",Indian Institute of Management (IIM) Rohtak concluded the final round of placements for the 13th batch of their flagship Post Graduate Programme (PGP). The business school informed that more than 200… [+6003 chars],1
"Tech layoffs continue unabated in March 2024: Apple, IBM, Dell among IT majors that cut jobs | Mint - Mint","As the Information Technology industry struggles with its challenges, major tech giants have been on a layoff spree in March this year. The downsizing of the company size is mostly being attributed t… [+6740 chars]",1
₹1.20 to ₹28.25: Reliance ADAG penny stock gives 2250% return in four years. More steam left? | Mint - Mint,"Reliance Power shares are in the news these days for sharp upside movement in the last fortnight of FY24. After remaining in the base building mode from January 10, 2024, to March 13, 2024, this Reli… [+3951 chars]",1
New Tata Safari Rival Spotted Testing! Launching soon? - MotorOctane,"Tata went hard at the segment by giving everything on the Safari facelift. To counter that, Mahindra launched the updated XUV700. Now another rival is gearing up to update itself to take on the compe… [+1895 chars]",1
Fly high because the sky is forgiving - The Times of India,The deep tech vs. consumer tech debate is quite hot among Indians today. This is a good debate regarding where India stands today in the generative AI space. Have we missed the bus in developing our … [+5029 chars],1
Edelweiss MF’s Radhika Gupta shares 5 tips on investing for your child - Hindustan Times,"Edelweiss MFs Radhika Gupta took to X to share tips for parents wanting to start their kids' investment journey. In her post, she shared how to chart the financial goals to secure one's childs future… [+1736 chars]",1
WeRize's revenue zooms 22X in last two fiscal years - Entrackr,,1
2024 Kia Sonet Facelift Review - Page 12 - Team-BHP,"Rumour: Kia Sonet to get new entry-level variants with sunroofAccording to a media report, the Kia Sonet will soon get two new entry-level variants. Both variants are likely to be equipped with a sun… [+741 chars]",1
"India’s forex reserves hit historic high of $642.63 billion, indicates growing investor confidence - The Financial Express","India’s foreign exchange reserves surged by $140 million to reach a historic high of $642.631 billion as of March 22, the Reserve Bank of India said. This marks the fifth consecutive week of a notabl… [+2955 chars]",1
"Stock market holidays in April 2024: NSE, BSE to remain shut on these two days | Mint - Mint","Stock market holidays in April 2024: After the end of a truncated week, the Indian stock market is all set to enter the new financial year on Monday. Monday next week will be the first trade session … [+2914 chars]",1
My best investment was in Shark Tank Judge Ghazal Alagh’s Mamaearth: Shilpa Shetty Kundra | Mint - Mint,"The proudest money decision Ive made was to invest in Mamaearth, said Bollywood actor and Entrepreneur Shilpa Shetty Kundra at the Mint India Investment Summit 2024, on Friday. Kundra, who has a numb… [+6429 chars]",1
"Banks to open this Saturday, Sunday: Know which transactions will be opened on March 30, March 31 - Zee Business","Are banks open on 30th March 2024, Are banks open on 31st march 2024: Reserve Bank of India (RBI) has advised all branches of the banks dealing with government receipts and payments to remain open fo… [+2151 chars]",1
"Shares to buy in FY25: Mid-cap, small-cap indices rebound from 3-month low. Top 5 stocks to buy for long-term | Mint - Mint","Stocks to buy in FY25: After touching a three-month low in mid-March 2024, the small-cap and mid-cap indices witnessed strong upside in the last fortnight of FY24. This has created a buzz in these se… [+5392 chars]",1
Mahindra XUV700 EV (XUV.e8) spied testing again - CarWale,"<ul><li>To get redesigned fascia with new headlamps</li><li>To debut later this year</li></ul>Mahindra is actively testing multiple models including the XUV400 facelift, XUV300 facelift, XUV700 EV, a… [+1387 chars]",1
USB Charger Scam Rampant In India: Here's What It Is And How To Stay Safe - NDTV,"Representational Image
The Centre has warned citizens against using phone charging portals at public places such as airports, cafes, hotels, and bus stands.
It has asked people to be cautious of th… [+1363 chars]",1
"‘TCS gave our jobs to Indians with H1-B visas’, allege 22 laid off US employees - Hindustan Times","A group of American workers have accused Tata Consultancy Services (TCS) of illegally discriminating against them on the basis of race and age, firing them on short notice and recruiting workers from… [+2025 chars]",1
Anand Mahindra says ‘started my career on shop floor of auto plant’ as he reacts to Elon Musk’s post - Hindustan Times,"Elon Musk took to X to share a post about how there are films on lone inventor but almost none about manufacturing. The Tesla CEO's tweet attracted reactions from many, including Anand Mahindra. In h… [+2312 chars]",1
JSW Vijayanagar Metallics commissions its Hot Strip Mill in Vijayanagar with capacity of 5 MTPA - The Financial Express,,1
Why it’s time for a fresh rally in midcaps and smallcaps - The Economic Times,"Despite a consolidation phase in the Indian markets, the Nifty Smallcap 100 and Nifty Midcap 100 have remained resilient. Following substantial rallies of around 27% and 25%, respectively from Novemb… [+3100 chars]",1
"Bharti Hexacom IPO, first in 2024-25 fiscal, opens for subscription on this date - Hindustan Times","Bharti Hexacom, the arm of Bharti Airtel, will open its initial public offering (IPO) for subscription on April 3. The company has fixed a price band of 542-570 per share for its 4,275 crore IPO. 
A… [+1925 chars]",1
"Amazon, Tata Steel, Barclays among 200 companies conduct placements at IIM Rohtak, offer up to ₹37.25 LPA | Mint - Mint",Indian Institute of Management (IIM) Rohtak concluded the final round of placements for the 13th batch of their flagship Post Graduate Programme (PGP). The business school informed that more than 200… [+6003 chars],1
"Tech layoffs continue unabated in March 2024: Apple, IBM, Dell among IT majors that cut jobs | Mint - Mint","As the Information Technology industry struggles with its challenges, major tech giants have been on a layoff spree in March this year. The downsizing of the company size is mostly being attributed t… [+6740 chars]",1
₹1.20 to ₹28.25: Reliance ADAG penny stock gives 2250% return in four years. More steam left? | Mint - Mint,"Reliance Power shares are in the news these days for sharp upside movement in the last fortnight of FY24. After remaining in the base building mode from January 10, 2024, to March 13, 2024, this Reli… [+3951 chars]",1
New Tata Safari Rival Spotted Testing! Launching soon? - MotorOctane,"Tata went hard at the segment by giving everything on the Safari facelift. To counter that, Mahindra launched the updated XUV700. Now another rival is gearing up to update itself to take on the compe… [+1895 chars]",1
Fly high because the sky is forgiving - The Times of India,The deep tech vs. consumer tech debate is quite hot among Indians today. This is a good debate regarding where India stands today in the generative AI space. Have we missed the bus in developing our … [+5029 chars],1
Edelweiss MF’s Radhika Gupta shares 5 tips on investing for your child - Hindustan Times,"Edelweiss MFs Radhika Gupta took to X to share tips for parents wanting to start their kids' investment journey. In her post, she shared how to chart the financial goals to secure one's childs future… [+1736 chars]",1
WeRize's revenue zooms 22X in last two fiscal years - Entrackr,,1
2024 Kia Sonet Facelift Review - Page 12 - Team-BHP,"Rumour: Kia Sonet to get new entry-level variants with sunroofAccording to a media report, the Kia Sonet will soon get two new entry-level variants. Both variants are likely to be equipped with a sun… [+741 chars]",1
"India’s forex reserves hit historic high of $642.63 billion, indicates growing investor confidence - The Financial Express","India’s foreign exchange reserves surged by $140 million to reach a historic high of $642.631 billion as of March 22, the Reserve Bank of India said. This marks the fifth consecutive week of a notabl… [+2955 chars]",1
"Stock market holidays in April 2024: NSE, BSE to remain shut on these two days | Mint - Mint","Stock market holidays in April 2024: After the end of a truncated week, the Indian stock market is all set to enter the new financial year on Monday. Monday next week will be the first trade session … [+2914 chars]",1
My best investment was in Shark Tank Judge Ghazal Alagh’s Mamaearth: Shilpa Shetty Kundra | Mint - Mint,"The proudest money decision Ive made was to invest in Mamaearth, said Bollywood actor and Entrepreneur Shilpa Shetty Kundra at the Mint India Investment Summit 2024, on Friday. Kundra, who has a numb… [+6429 chars]",1
"Banks to open this Saturday, Sunday: Know which transactions will be opened on March 30, March 31 - Zee Business","Are banks open on 30th March 2024, Are banks open on 31st march 2024: Reserve Bank of India (RBI) has advised all branches of the banks dealing with government receipts and payments to remain open fo… [+2151 chars]",1
"Shares to buy in FY25: Mid-cap, small-cap indices rebound from 3-month low. Top 5 stocks to buy for long-term | Mint - Mint","Stocks to buy in FY25: After touching a three-month low in mid-March 2024, the small-cap and mid-cap indices witnessed strong upside in the last fortnight of FY24. This has created a buzz in these se… [+5392 chars]",1
Mahindra XUV700 EV (XUV.e8) spied testing again - CarWale,"<ul><li>To get redesigned fascia with new headlamps</li><li>To debut later this year</li></ul>Mahindra is actively testing multiple models including the XUV400 facelift, XUV300 facelift, XUV700 EV, a… [+1387 chars]",1
USB Charger Scam Rampant In India: Here's What It Is And How To Stay Safe - NDTV,"Representational Image
The Centre has warned citizens against using phone charging portals at public places such as airports, cafes, hotels, and bus stands.
It has asked people to be cautious of th… [+1363 chars]",1
"‘TCS gave our jobs to Indians with H1-B visas’, allege 22 laid off US employees - Hindustan Times","A group of American workers have accused Tata Consultancy Services (TCS) of illegally discriminating against them on the basis of race and age, firing them on short notice and recruiting workers from… [+2025 chars]",1
Anand Mahindra says ‘started my career on shop floor of auto plant’ as he reacts to Elon Musk’s post - Hindustan Times,"Elon Musk took to X to share a post about how there are films on lone inventor but almost none about manufacturing. The Tesla CEO's tweet attracted reactions from many, including Anand Mahindra. In h… [+2312 chars]",1
JSW Vijayanagar Metallics commissions its Hot Strip Mill in Vijayanagar with capacity of 5 MTPA - The Financial Express,,1
Why it’s time for a fresh rally in midcaps and smallcaps - The Economic Times,"Despite a consolidation phase in the Indian markets, the Nifty Smallcap 100 and Nifty Midcap 100 have remained resilient. Following substantial rallies of around 27% and 25%, respectively from Novemb… [+3100 chars]",1
"Bharti Hexacom IPO, first in 2024-25 fiscal, opens for subscription on this date - Hindustan Times","Bharti Hexacom, the arm of Bharti Airtel, will open its initial public offering (IPO) for subscription on April 3. The company has fixed a price band of 542-570 per share for its 4,275 crore IPO. 
A… [+1925 chars]",1
"Amazon, Tata Steel, Barclays among 200 companies conduct placements at IIM Rohtak, offer up to ₹37.25 LPA | Mint - Mint",Indian Institute of Management (IIM) Rohtak concluded the final round of placements for the 13th batch of their flagship Post Graduate Programme (PGP). The business school informed that more than 200… [+6003 chars],1
"Tech layoffs continue unabated in March 2024: Apple, IBM, Dell among IT majors that cut jobs | Mint - Mint","As the Information Technology industry struggles with its challenges, major tech giants have been on a layoff spree in March this year. The downsizing of the company size is mostly being attributed t… [+6740 chars]",1
₹1.20 to ₹28.25: Reliance ADAG penny stock gives 2250% return in four years. More steam left? | Mint - Mint,"Reliance Power shares are in the news these days for sharp upside movement in the last fortnight of FY24. After remaining in the base building mode from January 10, 2024, to March 13, 2024, this Reli… [+3951 chars]",1
New Tata Safari Rival Spotted Testing! Launching soon? - MotorOctane,"Tata went hard at the segment by giving everything on the Safari facelift. To counter that, Mahindra launched the updated XUV700. Now another rival is gearing up to update itself to take on the compe… [+1895 chars]",1
Fly high because the sky is forgiving - The Times of India,The deep tech vs. consumer tech debate is quite hot among Indians today. This is a good debate regarding where India stands today in the generative AI space. Have we missed the bus in developing our … [+5029 chars],1
Edelweiss MF’s Radhika Gupta shares 5 tips on investing for your child - Hindustan Times,"Edelweiss MFs Radhika Gupta took to X to share tips for parents wanting to start their kids' investment journey. In her post, she shared how to chart the financial goals to secure one's childs future… [+1736 chars]",1
WeRize's revenue zooms 22X in last two fiscal years - Entrackr,,1
2024 Kia Sonet Facelift Review - Page 12 - Team-BHP,"Rumour: Kia Sonet to get new entry-level variants with sunroofAccording to a media report, the Kia Sonet will soon get two new entry-level variants. Both variants are likely to be equipped with a sun… [+741 chars]",1
"India’s forex reserves hit historic high of $642.63 billion, indicates growing investor confidence - The Financial Express","India’s foreign exchange reserves surged by $140 million to reach a historic high of $642.631 billion as of March 22, the Reserve Bank of India said. This marks the fifth consecutive week of a notabl… [+2955 chars]",1
"Stock market holidays in April 2024: NSE, BSE to remain shut on these two days | Mint - Mint","Stock market holidays in April 2024: After the end of a truncated week, the Indian stock market is all set to enter the new financial year on Monday. Monday next week will be the first trade session … [+2914 chars]",1
My best investment was in Shark Tank Judge Ghazal Alagh’s Mamaearth: Shilpa Shetty Kundra | Mint - Mint,"The proudest money decision Ive made was to invest in Mamaearth, said Bollywood actor and Entrepreneur Shilpa Shetty Kundra at the Mint India Investment Summit 2024, on Friday. Kundra, who has a numb… [+6429 chars]",1
"Banks to open this Saturday, Sunday: Know which transactions will be opened on March 30, March 31 - Zee Business","Are banks open on 30th March 2024, Are banks open on 31st march 2024: Reserve Bank of India (RBI) has advised all branches of the banks dealing with government receipts and payments to remain open fo… [+2151 chars]",1
"Shares to buy in FY25: Mid-cap, small-cap indices rebound from 3-month low. Top 5 stocks to buy for long-term | Mint - Mint","Stocks to buy in FY25: After touching a three-month low in mid-March 2024, the small-cap and mid-cap indices witnessed strong upside in the last fortnight of FY24. This has created a buzz in these se… [+5392 chars]",1
Mahindra XUV700 EV (XUV.e8) spied testing again - CarWale,"<ul><li>To get redesigned fascia with new headlamps</li><li>To debut later this year</li></ul>Mahindra is actively testing multiple models including the XUV400 facelift, XUV300 facelift, XUV700 EV, a… [+1387 chars]",1
USB Charger Scam Rampant In India: Here's What It Is And How To Stay Safe - NDTV,"Representational Image
The Centre has warned citizens against using phone charging portals at public places such as airports, cafes, hotels, and bus stands.
It has asked people to be cautious of th… [+1363 chars]",1
"‘TCS gave our jobs to Indians with H1-B visas’, allege 22 laid off US employees - Hindustan Times","A group of American workers have accused Tata Consultancy Services (TCS) of illegally discriminating against them on the basis of race and age, firing them on short notice and recruiting workers from… [+2025 chars]",1
Anand Mahindra says ‘started my career on shop floor of auto plant’ as he reacts to Elon Musk’s post - Hindustan Times,"Elon Musk took to X to share a post about how there are films on lone inventor but almost none about manufacturing. The Tesla CEO's tweet attracted reactions from many, including Anand Mahindra. In h… [+2312 chars]",1
JSW Vijayanagar Metallics commissions its Hot Strip Mill in Vijayanagar with capacity of 5 MTPA - The Financial Express,,1
Why it’s time for a fresh rally in midcaps and smallcaps - The Economic Times,"Despite a consolidation phase in the Indian markets, the Nifty Smallcap 100 and Nifty Midcap 100 have remained resilient. Following substantial rallies of around 27% and 25%, respectively from Novemb… [+3100 chars]",1
"Bharti Hexacom IPO, first in 2024-25 fiscal, opens for subscription on this date - Hindustan Times","Bharti Hexacom, the arm of Bharti Airtel, will open its initial public offering (IPO) for subscription on April 3. The company has fixed a price band of 542-570 per share for its 4,275 crore IPO. 
A… [+1925 chars]",1
"Amazon, Tata Steel, Barclays among 200 companies conduct placements at IIM Rohtak, offer up to ₹37.25 LPA | Mint - Mint",Indian Institute of Management (IIM) Rohtak concluded the final round of placements for the 13th batch of their flagship Post Graduate Programme (PGP). The business school informed that more than 200… [+6003 chars],1
"Tech layoffs continue unabated in March 2024: Apple, IBM, Dell among IT majors that cut jobs | Mint - Mint","As the Information Technology industry struggles with its challenges, major tech giants have been on a layoff spree in March this year. The downsizing of the company size is mostly being attributed t… [+6740 chars]",1
₹1.20 to ₹28.25: Reliance ADAG penny stock gives 2250% return in four years. More steam left? | Mint - Mint,"Reliance Power shares are in the news these days for sharp upside movement in the last fortnight of FY24. After remaining in the base building mode from January 10, 2024, to March 13, 2024, this Reli… [+3951 chars]",1
New Tata Safari Rival Spotted Testing! Launching soon? - MotorOctane,"Tata went hard at the segment by giving everything on the Safari facelift. To counter that, Mahindra launched the updated XUV700. Now another rival is gearing up to update itself to take on the compe… [+1895 chars]",1
Fly high because the sky is forgiving - The Times of India,The deep tech vs. consumer tech debate is quite hot among Indians today. This is a good debate regarding where India stands today in the generative AI space. Have we missed the bus in developing our … [+5029 chars],1
Edelweiss MF’s Radhika Gupta shares 5 tips on investing for your child - Hindustan Times,"Edelweiss MFs Radhika Gupta took to X to share tips for parents wanting to start their kids' investment journey. In her post, she shared how to chart the financial goals to secure one's childs future… [+1736 chars]",1
WeRize's revenue zooms 22X in last two fiscal years - Entrackr,,1
2024 Kia Sonet Facelift Review - Page 12 - Team-BHP,"Rumour: Kia Sonet to get new entry-level variants with sunroofAccording to a media report, the Kia Sonet will soon get two new entry-level variants. Both variants are likely to be equipped with a sun… [+741 chars]",1
"India’s forex reserves hit historic high of $642.63 billion, indicates growing investor confidence - The Financial Express","India’s foreign exchange reserves surged by $140 million to reach a historic high of $642.631 billion as of March 22, the Reserve Bank of India said. This marks the fifth consecutive week of a notabl… [+2955 chars]",1
"Stock market holidays in April 2024: NSE, BSE to remain shut on these two days | Mint - Mint","Stock market holidays in April 2024: After the end of a truncated week, the Indian stock market is all set to enter the new financial year on Monday. Monday next week will be the first trade session … [+2914 chars]",1
My best investment was in Shark Tank Judge Ghazal Alagh’s Mamaearth: Shilpa Shetty Kundra | Mint - Mint,"The proudest money decision Ive made was to invest in Mamaearth, said Bollywood actor and Entrepreneur Shilpa Shetty Kundra at the Mint India Investment Summit 2024, on Friday. Kundra, who has a numb… [+6429 chars]",1
"Banks to open this Saturday, Sunday: Know which transactions will be opened on March 30, March 31 - Zee Business","Are banks open on 30th March 2024, Are banks open on 31st march 2024: Reserve Bank of India (RBI) has advised all branches of the banks dealing with government receipts and payments to remain open fo… [+2151 chars]",1
"Shares to buy in FY25: Mid-cap, small-cap indices rebound from 3-month low. Top 5 stocks to buy for long-term | Mint - Mint","Stocks to buy in FY25: After touching a three-month low in mid-March 2024, the small-cap and mid-cap indices witnessed strong upside in the last fortnight of FY24. This has created a buzz in these se… [+5392 chars]",1
Mahindra XUV700 EV (XUV.e8) spied testing again - CarWale,"<ul><li>To get redesigned fascia with new headlamps</li><li>To debut later this year</li></ul>Mahindra is actively testing multiple models including the XUV400 facelift, XUV300 facelift, XUV700 EV, a… [+1387 chars]",1
USB Charger Scam Rampant In India: Here's What It Is And How To Stay Safe - NDTV,"Representational Image
The Centre has warned citizens against using phone charging portals at public places such as airports, cafes, hotels, and bus stands.
It has asked people to be cautious of th… [+1363 chars]",1
"‘TCS gave our jobs to Indians with H1-B visas’, allege 22 laid off US employees - Hindustan Times","A group of American workers have accused Tata Consultancy Services (TCS) of illegally discriminating against them on the basis of race and age, firing them on short notice and recruiting workers from… [+2025 chars]",1
Anand Mahindra says ‘started my career on shop floor of auto plant’ as he reacts to Elon Musk’s post - Hindustan Times,"Elon Musk took to X to share a post about how there are films on lone inventor but almost none about manufacturing. The Tesla CEO's tweet attracted reactions from many, including Anand Mahindra. In h… [+2312 chars]",1
JSW Vijayanagar Metallics commissions its Hot Strip Mill in Vijayanagar with capacity of 5 MTPA - The Financial Express,,1
